Module Code,Adventure Title,Level Range,"Level, Optimized for",Runtime,Consumables,Magic Items,,Spellbooks,Story Awards,Author,Treasure (GP),,
SJ-DC-ANGKA-05,Never Let Me Go,11-16,13,2,"Smokepowder Packet, Spell Scroll of Haste, Spell Scroll of Thunder Step","Morningstar +2, Beacon property","Cloak of Many Fashions, Waterborne property",,,,25000,Musket,
SJ-DC-ANGKA-06,Moving Up in the World,11-16,13,2,"Smokepowder Packet, Spell Scroll of Haste, Spell Scroll of Revivify","Glaive +2, Guardian property",Instrument of Scribing,,,,25000,"Musket, Rations (20), Waterskins (30), Mess Kits (20), Brewer’s Supplies, Cook’s Utensils, Poisoner’s Kit",
SJ-DC-ANGKA-07,Sleep Now in the Fire,11-16,14,4,"Potion of Superior Healing, Potion of Fire Resistance, Glowrune Pigment","Absorbing Tattoo (Fire), Beacon property",Pipe of Rememberance,,,,50000,"Whip (Adamantine, Silvered, Continual Flame)",
SJ-DC-ARCON,Happily Ever After,1-4,3,4,,,,,,,,,
SJ-DC-ARQ-01,Welcome to the Arquëon System,1-4,2,2,Smokepowder Packet,Pearl of Power,,,,,250,"Pistol, Dagger (Silvered)",
SJ-DC-ARQ-02,Falrenn Mayhem,1-4,3,4,Smokepowder Packet,"Wand of Web, Guardian property","Staff of Adornment, Language property (Primordial)",,,,500,Musket,
SJ-DC-AS-1,Hunt for the Recluse,1-4,3,4,"Spell Scroll of Air Bubble, Potion of Greater Healing, Smokepowder Packet","Javelin of Lightning, Loud property","Talking Doll, Sentinel property (Constructs)",,,,500,Musket,
SJ-DC-ASI-01,Secrets of Old,5-10,,4,,,,,,,,,
SJ-DC-ASI-02,Through the Looking Glass,5-10,,4,,,,,,,,,
SJ-DC-ASI-03,Elemental Brainstorm,5-10,,4,,,,,,,,,
SJ-DC-ASLM-01,Escape from Toril,11-16,12,4,Bead of Force,Watchful Helm,Horn of Silent Alarm,,"Boon of the Harpers, Boon of the Lords Alliance, Boon of the Emerald Enclave, Boon of the Order of the Gauntlet, Boon of the Zhentarim",,20000,,
SJ-DC-ASLM-02,Heart of Glass,11-16,13,4,"Potion of Superior Healing, Spell Scroll of Polymorph, Elixir of Health",Carpet of Flying (4x6),Cloak of Many Fashions,,,,50000,,
SJ-DC-ASLM-03,Missing Heir,11-16,14,4,"Elixir of Health, Potion of Acid Resistance, Sepll Scroll of Mislead, Spellwrought Tattoo of Mage Hand",Sapphire Buckler,,,,,50000,,
SJ-DC-AUG-06,The Rock: Tales of the Beholder Corps,1-4,3,4,"Potion of Advantage, Spellwrought Tattoo of Misty Step, Smokepowder Packet",Guardian Emblem,,,Giff Battle Buddy,Johnny Smith,254,Pistol,
SJ-DC-AUG-07,Blast Them! Tales of the Beholder Corps,5-10,8,4,"Dust of Disappearance, Spellwrought Tattoo of Haste, Smokepowder Packet",Elemental Essence Shard (Earth),"Horn of Silent Alarm, Sentinel property (Monstrosities)",,"Jump Ship, Honorary Corps Member",Johnny Smith,5000,,
SJ-DC-AUG-08,"I, Xamott: Tales of the Beholder Corps",11-16,13,4,"Smokepowder Packet, Potion of Mind Control (Humanoid), Spellwrought Tattoo of Greater Restoration",Carpet of Flying (3x5),,,"Eye've Seen the Light, Honorary Corps Member, Beholder Corps Cadet, Beholder Corps Ensign, Beholder Corps Lieutenant",,49506,Musket,
SJ-DC-AUG-09,Tyrants & Dragons: Tales of the Beholder Corps,11-16,13,4,"Potion of Heroism, Keoghtom's Ointment, Spellwrought Tattoo of Circle of Power","Frost Brand Longsword, Delver property",,,"Honorary Corps Member, Beholder Corps Cadet, Beholder Corps Ensign, Beholder Corps Lieutenant, Dragon Allies",,30000,,
SJ-DC-AUG-10,Prisoner of Prioxa: Tales of the Beholder Corps,11-16,13,4,"Bead of Force, Potion of Invulnerability, Spellwrought Tattoo of Locate Creature","Absorbing Tattoo (Acid), Harmonious property",,,"Honorary Corps Member, Beholder Corps Cadet, Beholder Corps Ensign, Beholder Corps Lieutenant",,40000,,
SJ-DC-BAD-01,Bad Omen,1-4,3,2,Smokepowder Packet,"Guardian Emblem, Sentinel property (Halflings)",,,"The Unknowable One's Animosity, Out of Luck",,500,"Clothes (Common), Dagger (Silvered), Forgery kit, Pistol, Thieves’ tools",
SJ-DC-BAD-02,Space Hamsterball Run!,1-4,3,2,"Potion of Healing, Spellwrought Tattoo of Find Familiar, Walloping Ammunition (Bolt)","Wand of Web, Language property (Elvish)",,,,,250,"Clothes (Travelers, Hamster Rider Outfit)",
SJ-DC-BAD-03,Festival of Frun,5-10,8,2,"Potion of Climbing, Potion of Healing, Spellwrought Tattoo of Heroism","Studded Leather +1, Guardian property",,,,,2500,"Alchemist’s Fire, Breastplate, Hand Crossbow, Lute, Magnifying Glass, Spellbook (Archmage), Scimitar (Silvered), Shortsword (Silvered), Tinkerers’ Tools",
SJ-DC-BBB-01,Mutiny: The Ballad of Blunderbuss Bill,5-10,8,2,,Bag of Beans,,,,"Ethan Stanhope, Teän Stanhope, James Twigg",1650,,
SJ-DC-BBB-02,Mutiny: The Blunderbuss of Blunderbuss Bill,5-10,8,2,Potion of Psychic Resistance,Boots of Levitation,,,,,500,,
SJ-DC-BBB-03,Mutiny: The Battle of Blunderbuss Bill,5-10,8,2,,Battleaxe +2,,,,,500,,
SJ-DC-BEB-01,The Hunger,5-10,8,4,"Bottled Breath, Spell Scroll of Blur, Smokepowder Packet",Astromancy Archive,Horn of Silent Alarm,,,Belinda Baldwin,7600,Pistol,
SJ-DC-BLU,The Blue Sun Facility,5-10,8,4,"Spellwrought Tattoo of Message, Dust of Dryness, Smokepowder Packet, Spell Scoll of Enlarge/Reduce","Astromancy Archive, Compass property",,,,,3500,"Pistol, Plate Armor",
SJ-DC-BST-01,Slammed,5-10,8,2,Smokepowder Packet,"Astromancy Archive, War Leader property",,,,,2480,"Pistol, Fishing tackle",
SJ-DC-BST-02,Rammed,5-10,8,2,Smokepowder Packet,"Quarterstaff +2, Beacon property",,,,,2500,Pistol,
SJ-DC-BST-03,Taken in the Early Morning,5-10,8,2,Smokepowder Packet,"Wand of Fireballs, Delver property",,,,,2500,"Pistol, Cook's utensils, Spellbook (Diviner)",
SJ-DC-BST-04,Blasted,5-10,8,2,"Spellwrought Tattoo of Absorb Elements, Spellwrought Tattoo of Cure Wounds, Spell Scroll of False Life","Rhythm-Maker’s Drum +2, Language property (Yeti)",,,,,2500,"Spellbook (Transmuter), Acid vial",
SJ-DC-BST-05,Pounded,5-10,8,2,Smokepowder Packet,"Gauntlets of Flaming Fury, Guardian property",,,,,2500,Musket,
SJ-DC-BST-06,Come Together on the Giffstar,5-10,8,4,"Dust of Disappearance, Spellwrought Tattoo of Revivify, Smokepowder Packet","Staff of Defense, Strange Material property (yggdrasti root)","Hat of Wizardry, Harmonious property",,,,5000,"Musket, Spellbook (Necromancer)",
SJ-DC-BST-07,Tying the Knot,11-16,13,2,"Potion of Growth, Smokepowder Packet, Spellwrought Tattoo of Revivify","Bag of Beans, Blissful property","Masquerade Tattoo, Harmonious property",,,,25000,"Pistol, Costume Clothes",
SJ-DC-BST-08,Enter: Mission,5-10,8,2,"Bead of Refreshment, Spellwrought Tattoo of Searing Smite, Spellwrought Tattoo of Speak with Animals","Figurine of Wondrous Power (Ebon Fly), Temperate property",,,,,2500,Ribbon trinket,
SJ-DC-CBB-01,Last Stand of The Void,1-4,3,2,"Spell Scroll of Air Bubble, Scroll of Lesser Restoration, Scroll of Remove Curse",Eldritch Claw Tattoo,,,Gadabout Rental,,250,,
SJ-DC-CBB-02,In Cyzor's Grasp,1-4,3,4,,Guardian Emblem,Horn of Silent Alarm,,,,500,Alchemist's Fire (3),
SJ-DC-CBB-04,Horizon of Oblivion,5-10,8,4,"Spellwrought Tattoo of Eldritch Blast, Spell Scroll of Haste, Spell Scroll of Misty Step, Potion of Greater Healing",Hand Crossbow +2,,,,,5000,,
SJ-DC-CBB-05,The Draconic Core,11-16,13,4,"Potion of Invulnerability, Potion of Poison, Spell Scroll of Dawn",Ioun Stone of Insight,Talking Doll,,,,50000,,
SJ-DC-CBB-06,Horror From The Planet's Core,11-16,13,4,"Spell Scroll of Magic Circle, Spell Scroll of Mass Cure Wounds, Spell Scroll of Skill Empowerment",Staff of Striking,Cloak of Many Fashions,,,,50000,,
SJ-DC-CEG-01,Pulling Gs,11-16,13,4,,,,,,,,,
SJ-DC-CGG-01,To Raise a Princess,5-10,8,4,"Potion of Greater Healing, Potion of Psychic Resistance, Potion of Climbing",Elemental Essence Shard (Air),Cloak of Many Fashions,,"Princess Serach's Memento, Failed Princess",,5000,,
SJ-DC-CGG-02,To Kill an Empress,5-10,8,4,"Potion of Greater Healing, Oil of Slipperiness, Smokepowder Packet","Longsword +2, War Leader property",Talking Doll,,"The Empress Anew, Our Future, Our Story, Empress Serach's Memento, Calatas Lost",,3000,Musket,
SJ-DC-CJK01-01,A Whale of a Time,1-4,3,4,"Potion of Greater Healing, Spell Scroll of Major Image, Spell Scroll of Air Bubble","Pearl of Power, Harmonious property","Cloak of Many Fashions, Temperate property",,,,500,,
SJ-DC-CJK02,The Tavern at the End of the Wildspace,1-4,3,4,"Spell Scroll of Alarm, Spell Scroll of Color Spray, Spell Scroll of Heroism","Javelin of Lightning, War Leader property","Horn of Silent Alarm, Guardian property",,,,500,,
SJ-DC-COD,The Cods Must Be Crazy,11-16,13,4,Smokepowder Packet,"Sapphire Buckler, Beacon property","Pipe of Remembrance, Language property (Undercommon)",,Blessing of Protection,,50000,,
SJ-DC-CONMAR-01,Who Killed Marcus,11-16,13,2,"Mystery Key, Smokepowder Packet, Spell Scroll of Goodberry","Pike +2, War Leader property","Instrument of Scribing, Song Craft property",,"In Debt to the Babysitters, Marked by the Githyanki",,25000,Pistol,
SJ-DC-CONMAR-02,A Kraken Good Story,11-16,13,2,"Keogtom's Ointment, Spell Scroll of Pass Without Trace, Smokepowder Packet","Astromancy Archive, Beacon property","Instrument of Scribing, Song Craft property",,,,25000,Musket,
SJ-DC-CONMAR-03,Heart of Shards,11-16,13,2,"Dried Leech Crossbow Bolt, Dried Leech Arrow, Smokepowder Packet","Gauntlets of Flaming Fury, Guardian property","Instrument of Scribing, Song Craft property",,,,25000,Musket,"Rewards suggests Dried Leech ammunition is granted in a bundle of 5, but only one of a special ammunition is awarded by an adventure."
SJ-DC-CONMAR-04,Finally Saving Marcus,11-16,13,2,"Perfume of Bewitching, Dust of Disappearance, Smokepowder Packet","Elemental Essence Shard (Air), Strange Material property (amethyst)",Heward's Handy Spice Pouch,,,,25000,,
SJ-DC-COULEE23-01,Building the Blastflinger,1-4,2,4,,,,,,,,,
SJ-DC-DAP,Voyage to Goldfish Island,1-4,3,4,Potion of Healing,Ring of Feather Falling,,,,,500,,"Incomplete formatting. Mentions an additional uncommon magic item in text, but not under a treasure heading."
SJ-DC-DCS-01,"Rocks Fall, Everybody Dies",11-16,13,4,"Quaal's Feather Token (Anchor), Spell Scroll of Greater Restoration, Spell Scroll of Dominate Person","Absorbing Tattoo (Psychic), Language property (Deep Speech)","Clothes of Mending, Beacon property",,,,50000,,
SJ-DC-DD-01,Rock Paper Pistols,1-4,3,4,"Smokepowder Packet, Potion of Greater Healing, Potion of Hill Giant Strength","Guardian Emblem, Guardian property","Masquerade Tattoo, Harmonious property",,,,500,Pistol,
SJ-DC-DD-02,Lone Survivors,1 - 4,3,4,"Smokepowder Packet, Potion of Greater Healing, Bottled Breath","Eldritch Claw Tattoo, Strange Material property (worm)","Rope of Mending, Strange Material property (vine)",,,,500,Pistol,
SJ-DC-DD-03,Castles in the Sand,1-4,3,4,"Potion of Greater Healing, Spell Scroll of Water Breathing, Spell Scroll of Water Walk","Brooch of Shielding, Waterborne minor property","Pole of Collapsing, Language property (Primordial)",,"Kyriakos Blood-Debt, Rybolslav’s Patronage, Ryesa Glamor Monarch, We Are The Champions",,500,Pistol,
SJ-DC-DD-04,The Highest Bidder,1-4,3,4,"Spellwrought Tattoo of Guidance, Potion of Lightning Resistance, Dust of Disappearance, Potion of Growth","Javelin of Lightning, Sentinel property (Undead)",,,,"Jamie Chan, Shu Qing Tan",500,,
SJ-DC-DD-05,The Show Must Go On,5-10,8,4,"Bottled Breath, Spellwrought Tattoo of Enhance Ability, Spell Scroll of Tiny Servant","Rhythm-Maker's Drum +2, Harmonious property","Cloak of Many Fashions, Gleaming property",,,,4600,,
SJ-DC-DD-06,The Prime Strikers,5-10,8,4,"Potion of Greater Healing, Spell Scroll of Dispel Magic, Spell Scroll of Major Image","Cloak of the Bat, Gleaming property","Instrument of Scribing, Compass property",,,,5000,"Pistol, Trinket",
SJ-DC-DD-07,Sinaya's Song,5-10,8,4,"Potion of Growth, Keoghtom's Ointment, Spellwrought Tattoo of Catnap","Figurine of Wondrous Power (Ebon Fly), Conscientious property","Staff of Adornment, Songcraft property",,"Sinaya's Song Goes On, Sinaya's Song Ends",,5000,,
SJ-DC-DD-08,Blast from the Past,5-10,8,4,"Elemental Gem (Red Corundum), Spell Scroll of Clairvoyance, Spell Scroll of Animate Dead","Wand of Fireballs, Unbreakable property","Clothes of Mending, Gleaming property",,,,5000,Spellbook (Necromancer),
SJ-DC-DD-09,The Huangfu Heist,5-10,8,4,"Dust of Disappearance, Spellwrought Tattoo of See Invisibility, Elemental Gem (Blue Sapphire)","Staff of Defense, Guardian property","Hat of Wizardry, Beacon property",,,,5000,Spellbook (Archmage),
SJ-DC-DD-11,Per Aspera,11-16,13,4,,,,,,,,,
SJ-DC-DD-12,The End of the Line,11-16,13,4,,,,,,,,,
SJ-DC-DEATH,In Defiance of Dairy,11-16,14,4,"Spellwrought Tattoo of Guidance, Potion of Invulnerability, Spellwrought Tattoo of Reincarnate, Spellwrought Tattoo of Death Ward","Ghost Step Tattoo, Language property (Deep Speech)",,,A Pact's Transference,,5000,"Spellbook (Archmage), Spellbook (Lich)",
SJ-DC-DEN-H4,Departure from Fallen Stars,5-10,8,4,"Potion of Bottled Breath, Oil of Slipperiness, Spell Scroll of Locate Object","Astromancy Archive, Illusion property","Masquerade Tattoo, Metamorphic property",,"Bombard Delivery, Githyanki Military Escort, Swimming with the Sharks",,3085,"Spellbook (Mage, partial)",
SJ-DC-DEN-H5,The Reef of Living Memory,5-10,8,4,"Spell Scroll of Cure Wounds, Spell Scroll of Snare, Spell Scroll of Heat Metal","Maul +2, Language property (Sahuagin)","Staff of Adornment, Loud property",,"Hitching a Ride with Hursk, Stolen Stingray Ship, Song of Sekolah",,5000,,
SJ-DC-DEN-H6,Sekolah’s Ire,5-10,8,4,"Potion of Fire Breath, Spell Scroll of Dispel Magic, Spell Scroll of Hold Person","Half Plate +1, Strange Material property (kindori)","Horn of Silent Alarm, War Leader property",,,,4000,,
SJ-DC-DEN-H7,Flummoxing Fire from Afar,1-4,3,4,"Potion of Greater Healing, Spell Scroll of Invisibility, Spell Scroll of Sleet Storm","Bracers of Archery, Language property (Deep Speech)","Clockwork Amulet, Hungry property",,Champion of the Cruise,,500,Competition prizes,
SJ-DC-DEN-H8,Pesky Problems of Proprietors and Priests,1-4,3,4,"Spellwrought Tattoo of Sanctuary, Mystery Key, Potion of Comprehension","Hat of Disguise, Illusion property","Pole of Collapsing, Hidden Message property",,,,235,"Spellbook (Illusionist), Holy Symbol, Sack (2), Dungeoneer Pack, Shovel, Miner's Pick, Tent (2), Cold Weather Clothing (2), Holy Water (1 ea), Rapier, Dagger, Leather Armor, Component Pouch, Horn, Antitoxin (1 ea), Pole (PCs-1)",
SJ-DC-DES05-01,GAAAYS in SPAAAAACE!!!,1-4,3,4,,,,,,,,,
SJ-DC-DES05-02,Escape from the Demonweb Pits,5-10,8,4,,,,,,,,,
SJ-DC-DES05-03,Galactic Gigglefit,1-4,3,4,,,,,,,,,
SJ-DC-DFA-01,Moonshot,11-16,13,4,"Potion of Invulnerability, Spell Scroll of Mass Cure Wounds, Spell Scroll of Sickening Radiance","Carpet of Flying (4x6), Grumbling property","Cloak of Many Fashions, Language Property (Deep Speech)",,"Don't Look Back, You Must Love Secrets!",,50000,"Pistol, Half Plate (3), Studded Leather (2), Longsword (3), Spear (2), Shield (5)",
SJ-DC-DFA-02,Checkmate,11-16,13,4,"Potion of Heroism, Spell Scroll of Ashardalon's Stride, Smokepowder Packet","Instrument of the Bards (Anstruth Harp), War Leader property","Pole of Collapsing, Language property (Draconic)",,"Blackwater Park, Demon of the Fall",Noah Grand,50000,Musket,
SJ-DC-DFA-03,Dragonfall,11-16,13,4,"Potion of Invulnerability, Spellwrought Tattoo of Far Step, Spell Scroll of Raulothim's Psychic Lance","Scimitar of Speed, Blissful property","Horn of Silent Alarm, Strange Material property (green dragon pistol)",,"Deal With a Dragon, Rotten Timing",,50000,,
SJ-DC-DFA-04,Breathless,5-10,8,4,"Potion of Hill Giant Strength, Spell Scroll of Fly, Spell Scroll of Intellect Fortress","Elemental Essence Shard (Air), Sentinel property (Aberrations)","Horn of Silent Alarm, Language property (Giant)",,"Alien Buttons Go Floppity, Voice Behind the Machine",,5000,"Damaged Breastplates (2), Spellbook (Diviner or Enchanter)",
SJ-DC-DFA-05,Goldstock,5-10,8,4,"Oil of Slipperiness, Spell Scroll of Aura of Vitality, Smokepowder Packet","Wand of Fireballs, Language property (Draconic)","Tankard of Sobriety, Delver property",,"Angelic Return, Dish Best Served Hot, Live By The Sword",,5000,"Studded Leather, Shortsword, Hand Crossbow, Crossbow Bolts (10), Climber's Kit, Tinker's Tools, Musket",
SJ-DC-DFA-06,Suckerpunch,11-16,13,4,Potion of Invulnerability,Sapphire Buckler,"Cloak of Many Fashions, Beacon property",,"Blessing of Protection, Astral Raider, Benevolent Soul",,50000,,
SJ-DC-DRA-01,A Lush and Dangerous Fruit,5-10,8,4,"Spellwrought Tattoo of Sword Burst, Potion of Greater Healing, Potion of Poison Resistance, Spell Scroll of Air Bubble","Scimitar +2, Guardian property",,,,,3490,,
SJ-DC-DRA-02,To Find A Friend,5-10,8,4,"Potion of Fire Breath, Potion of Lightning Resistance, Spell Scroll of Grease","Elemental Essence Shard (Fire), Beacon property",Masquerade Tattoo,,Arikabaelis' Boon,,4200,,
SJ-DC-DRA-03,What A Strange Blue World,5-10,8,4,"Potion of Fire Breath, Potion of Greater Healing, Spell Scroll of Crown of Madness",Boots of Levitation,Hat of Wizardry,,,,3600,Pistol (2),"Lists invalid upcasted spell scroll in rewards, not actually awarded in the adventure proper.
Awards too many firearms."
SJ-DC-DRA-04,The Frigid Cold of Despair,5-10,8,4,"Potion of Growth, Spell Scroll of Pass Without Trace, Spell Scroll of Identify","Breastplate +1, Language property (Dwarven)",Tankard of Sobriety,,,,4750,,
SJ-DC-DRA-05,The Hunger in the Marshes,5-10,8,4,"Potion of Greater Healing, Potion of Animal Friendship, Spell Scroll of Leomund's Tiny Hut",Figurine of Wondrous Power (Ebony Fly),Pole of Collapsing,,,,5000,,
SJ-DC-DRAGON-01,The Rock of Bral Caper,5-10,8,4,"Dust of Dryness, Potion of Growth, Oil of Slipperiness",Figurine of Wondrous Power (Ebony Fly),Masquerade Tattoo,,"A Wealthy Patron, In His Highness's Secret Service",,3000+,"Pistol, Musket, Bullets (10)","Gold and equipment scales on party strength/size.
Awards too many firearms."
SJ-DC-DRAGON-02,Crossing the Void,5-10,8,4,"Deck of Illusions, Potion of Climbing, Spell Scroll of Enhance Ability","Half Plate +1, Temperate property",Clothes of Mending,,Living Rivals,,5800+,"Pistol, Bullets (10)","Gold and equipment scales on party strength/size.
Awards more than the upper limit in gold without mentioning limit."
SJ-DC-DRAGON-03,The Starfire Gambit!,5-10,8,4,"Dust of Disappearance, Potion of Restful Watch, Spell Scroll of Intellect Fortress",Rapier +2,Pole of Collapsing,,,,4900,,
SJ-DC-DRAGON-04,The Call from Space!,5-10,8,4,"Potion of Greater Healing, Restorative Ointment, Potion of Comprehension",Boots of Levitation,Hat of Wizardry,,,,4500,,
SJ-DC-DSL-01,A Nightmare for Kersfees,5-10,8,4,"Smokepowder, Potion of Comprehension, Spell Scroll of Dispel Magic",Boots of Levitation. Temperate property,"Talking Doll, Guardian property",,,,3500+200 ea,"Musket, Shield (10), Longsword (10), Shortsword (10), Javelin (20), Spear (10), Heavy Crossbow (5), Longbow (5), Arrow (200), Quiver (10), Crossbow Bolt (200), Bolt Case (10), Blowgun, Blowgun Needle (50), Needle Case, Alchemist's Fire (2), Acid Vial (4), Antitoxin (4), Basic Poison","Dust of Corrosion listed in adventure rewards, but awards Smokepowder in text of adventure and player handout"
SJ-DC-DSL-02,What's Love Got To Do With It?,5-10,8,4,"Dust of Disappearance, Spell Scroll of Air Bubble, Potion of Climbing","Ring of Feather Falling, Illusion property","Tankard of Sobriety, Song Craft property",,,,5000,,
SJ-DC-DSL-03,"Hail, Columbia",5-10,8,4,"Bead of Nourishment, Spell Scroll of Erupting Earth, Spell Scroll of Summon Fey","Rhythm-Maker's Drum +2, War Leader property","Instrument of Scribing, Harmonious property",,,,5000,Musket,
SJ-DC-DUCKS-TTT-01,Save the Forest!,11-16,16,4,"Spellwrought Tattoo of Greater Restoration, Spellwrought Tattoo of Reincarnate, Spell Scroll of Create Spelljamming Helm","Absorbing Tattoo (Force), Sentinel property (Devils)","Horn of Silent Alarm, Language property (Aquan)",,"Tentaria's Wrath, Tentaria's Free, Tentaria's ""Dead""",,50000,,
SJ-DC-DWR-00-01,The Inside Job,1-2,1,1,,,,,,,,,Sold as part of a bundle of five introductory adventures.
SJ-DC-DWR-00-02,Space Swine Afternoon,1-2,1,1,,,,,,,,,Sold as part of a bundle of five introductory adventures.
SJ-DC-DWR-00-03,A Special Delivery,1-2,1,1,,,,,,,,,Sold as part of a bundle of five introductory adventures.
SJ-DC-DWR-00-04,Hyper Honey Heist,1-2,1,1,,,,,,,,,Sold as part of a bundle of five introductory adventures.
SJ-DC-DWR-00-05,Breaking The Ice,1-2,1,1,,,,,,,,,Sold as part of a bundle of five introductory adventures.
SJ-DC-DWR-01,Dohwar Heist,5-10,8,4,"Smokepowder Packet, Potion of Greater Healing, Keoghtom's Ointment","Cloak of the Bat, Guardian property","Talking Doll, Muttering property",,"Silver Beak Associate, Favor of Periwinkle",,5000,"Pistol
Mundane items included in treasure value as sold",
SJ-DC-DWR-02,Last Flight of the Orca,11-16,13,4,"Smokepowder Packet, Potion of Superior Healing, Spell Scroll Create Spelljamming Helm","Fish Suit, Temperate property","Cloak of Many Fashions, Language property (Elvish)",,"Silver Beak Associate, Silver Beak Partner",,50000,"Musket, Bullet (10), Healer's Kit, Shortsword (12), Light Crossbow (12), Crossbow Bolt (240)
Mundane items included in treasure value as sold",
SJ-DC-DWR-03,Red Flag Of Dread,11-16,13,4,"Potion of Superior Healing, Smokepowder Packet, Spell Scroll of Air Bubble (5th level)","Scimitar of Speed, Guardian property","Hat of Wizardry, Covetous property",Silver Beak Standing,Silver Beak Standing,,50000,Awards invalid upcasted spell scroll,
SJ-DC-EBAL-SPKY-01,Mergryn's Helm,1-4,3,2,"Potion of Healing, Spell Scroll of Protection from Evil and Good","Eldritch Claw Tattoo, Guardian property",,,Dry Gordon's Occult Map,Christopher M. Moreman,250,"Pistol, Bullet (20)",
SJ-DC-EBAL-SPKY-02,Reading the Mappa Mortuum,1-4,3,2,Smokepowder Packet,"Rope of Climbing, Unbreakable property",,,,Christopher M. Moreman,250,,
SJ-DC-EBAL-SPKY-03,Voidweaver's Web,5-10,8,4,Potion of Greater Healing,"Figurine of Wondrous Power (Ebony Fly), Repulsive property",,,Voidweaver's Shard,,5000,,
SJ-DC-ECHO-01,Starfall,11-16,13,2,Smokepowder Packet,"Astromancy Archive, Song Craft property","Hat of Wizardry, Hidden Message property",,,,25000,Pistol,
SJ-DC-ECHO-02,Bug Hunt,1-4,3,4,"Smokepowder Packet, Pixie Dust, Spellwrought Tattoo of Fireball","Eldritch Claw Tattoo, Guardian property",Masquerade Tattoo,,,,500,Musket,
SJ-DC-ECHO-03,Gold Rush,5-10,8,4,"Smokepowder Packet, Potion of Fire Resistance, Potion of Healing","Wand of Fireballs, Strange Material property (adamantine)","Cloak of Many Fashions, Temperate property",,,,5000,Pistol,
SJ-DC-ECHO-04,Return to Echo Three,5-10,8,2,Smokepowder Packet,"Hand Crossbow +2, Illusion property",,,,,2500,,
SJ-DC-END-01-01,A Pirate's Life,5-10,8,4,"Potion of Poison, Smokepowder Packet, Spell Scroll of Air Bubble","Cloak of the Bat, Beacon property","Tankard of Sobriety, Illusion property",,,,5000,Pistol,
SJ-DC-END-01-02,The Runaround,5-10,8,4,"Spellwrought Tattoo of Mending, Potion of Greater Healing, Smokepowder Packet, Spell Scroll of Water Breathing","Elemental Essence Shard (Water), Language property (Sahuagin)",,,,,5000,Pistol,
SJ-DC-END-01-03,Caught in the Crossfire,5-10,8,4,"Spellwrought Tattoo of Light, Potion of Greater Healing, Smokepowder Packet, Spell Scroll of Blindness/Deafness","Wand of Fireballs, Harmonious property",,,,,5000,"Musket, Spellbook (Illusionist)",
SJ-DC-END-01-04,Echoes in Space,5-10,8,2,Smokepowder Packet,"Longsword +2, Guardian property",,,,,2500,"Staff, Tinker's Tools, Pistol",
